Date,Open,High,Low,Close,Volume
2021-09-15,3882.10009765625,3980.0,3866.0,3954.550048828125,2461369
2021-09-16,3930.0,3981.75,3892.10009765625,3903.300048828125,2946666
2021-09-14,3849.949951171875,3896.5,3825.0,3885.89990234375,1991188
2021-09-24,3890.0,3944.39990234375,3855.0,3871.300048828125,2320754
2021-09-23,3870.0,3879.0,3835.0,3869.25,2003869
2021-09-21,3858.0,3871.550048828125,3821.64990234375,3862.949951171875,1568129
2021-09-22,3862.5,3896.85009765625,3852.449951171875,3862.14990234375,1744067
2021-09-06,3849.699951171875,3877.60009765625,3814.0,3852.0,1723693
2021-09-13,3767.0,3852.39990234375,3767.0,3845.35009765625,1691473
2021-09-03,3825.0,3856.89990234375,3804.550048828125,3842.050048828125,1746812
