Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,Day_of_Week,Month_Name,Quarter,Daily_Return,Price_Range,Prev_Close,MA7,MA30,MA50,MA200,Volatility_30,Short_MA,Long_MA,Signal
2002-08-12,28.79417226498404,29.742206222914568,28.79417226498404,29.519140243530277,212976,0.0,0.0,2002,8,12,0,August,3,,0.9480339579305266,,,,,,,,,-1
2002-08-13,29.556316086923573,30.03033304428441,28.90570535545041,29.11947631835937,153576,0.0,0.0,2002,8,13,1,August,3,-1.3539145174070621,1.1246276888339999,29.519140243530277,,,,,,,,-1
2002-08-14,29.184536031350767,29.184536031350767,26.563503316890145,27.11187744140625,822776,0.0,0.0,2002,8,14,2,August,3,-6.894350897675183,2.621032714460622,29.11947631835937,,,,,,,,-1
2002-08-15,27.111877441406246,27.111877441406246,27.111877441406246,27.11187744140625,0,0.0,0.0,2002,8,15,3,August,3,0.0,0.0,27.11187744140625,,,,,,,,-1
2002-08-16,26.97245769500468,28.255088884805893,26.58209020083713,27.04681205749512,811856,0.0,0.0,2002,8,16,4,August,3,-0.23998848494261038,1.672998683968764,27.11187744140625,,,,,,27.98183670043945,,-1
2002-08-19,27.269875710703477,27.269875710703477,26.12666117309251,26.377609252929688,205880,0.0,0.0,2002,8,19,0,August,3,-2.47423911972644,1.143214537610966,27.04681205749512,,,,,,27.353530502319337,,-1
2002-08-20,26.563503316890145,28.794168491260905,26.386909557873285,27.11187744140625,3773624,0.0,0.0,2002,8,20,1,August,3,2.7836798302522725,2.40725893338762,26.377609252929688,27.6283814566476,,,,,26.952010726928712,,-1
2002-08-21,28.60826239727888,29.147341189734043,27.15833318138227,28.440963745117188,3011064,0.0,0.0,2002,8,21,2,August,3,4.902228945905129,1.989008008351771,27.11187744140625,27.474356242588588,,,,,27.217827987670898,,-1
2002-08-22,29.37972042857498,30.9133027686928,29.231008846488177,29.667848587036133,6732480,0.0,0.0,2002,8,22,3,August,3,4.3137948942731486,1.6822939222046251,28.440963745117188,27.55269513811384,,,,,27.729022216796874,,-1
2002-08-23,29.928077365037947,32.43757453539827,29.56559500771757,31.452363967895508,4841672,0.0,0.0,2002,8,23,4,August,3,6.014980748011323,2.8719795276807005,29.667848587036133,28.17276464189802,,,,,28.61013259887695,,-1
2002-08-26,31.95427183868071,32.15875057808726,31.089890371012103,31.34084129333496,2576912,0.0,0.0,2002,8,26,0,August,3,-0.3545764467001056,1.0688602070751543,31.452363967895508,28.77690233503069,,,,,29.60277900695801,,-1
2002-08-27,31.60108430685463,32.90230542537218,30.29986318833709,30.56010627746582,3694224,0.0,0.0,2002,8,27,1,August,3,-2.491110588135914,2.6024422370350884,31.34084129333496,29.27880150931222,,,,,30.292424774169923,,-1
2002-08-28,30.46717563434304,30.931897671696884,29.955981393253804,30.58800506591797,1674960,0.0,0.0,2002,8,28,2,August,3,0.09129152954785447,0.9759162784430799,30.56010627746582,29.880286625453405,,,,,30.72183303833008,,-1
2002-08-29,30.402116250976427,31.136376502707865,30.299876835470936,30.58800506591797,1236544,0.0,0.0,2002,8,29,3,August,3,0.0,0.8364996672369287,30.58800506591797,30.376876286097936,,,,,30.905864334106447,,-1
2002-08-30,30.68093882673588,33.55291945368338,30.67164382192664,32.753597259521484,3762384,0.0,0.0,2002,8,30,4,August,3,7.079873920958901,2.88127563175674,30.58800506591797,30.99296678815569,,,,,31.16611099243164,,-1
2002-09-02,33.27407686897878,34.184930352605306,32.753587948433726,33.08818817138672,2389568,0.0,0.0,2002,9,2,0,September,3,1.0215394334067263,1.4313424041715805,32.753597259521484,31.481586728777206,,,,,31.51558036804199,,-1
2002-09-03,33.274091011462126,33.413507593912385,31.22931446885831,31.536029815673828,986784,0.0,0.0,2002,9,3,1,September,3,-4.690974155711347,2.184193125054076,33.08818817138672,31.493538992745535,,,,,31.710765075683593,,-1
2002-09-04,31.13636191091262,32.5305273696102,30.773879458938627,32.223812103271484,1449856,0.0,0.0,2002,9,4,2,September,3,2.1809412650156013,1.7566479106715711,31.536029815673828,31.619677679879324,,,,,32.037926483154294,,-1
2002-09-05,33.20902105713281,33.357732611004955,31.60108464925996,32.02862930297852,1061360,0.0,0.0,2002,9,5,3,September,3,-0.605709838635593,1.7566479617449957,32.223812103271484,31.829466683523997,,,,,32.32605133056641,,-1
2002-09-06,32.1587547834328,32.1587547834328,30.495050984756546,30.838943481445312,907472,0.0,0.0,2002,9,6,4,September,3,-3.714445005683009,1.6637037986762522,32.02862930297852,31.86531502859933,,,,,31.943120574951173,,-1
2002-09-09,29.370426719607288,31.74050862261357,29.370426719607288,30.439287185668945,880848,0.0,0.0,2002,9,9,0,September,3,-1.295946782407853,2.370081903006284,30.838943481445312,31.844069617135183,,,,,31.413340377807618,,-1
2002-09-10,30.439287185668945,30.439287185668945,30.439287185668945,30.439287185668945,0,0.0,0.0,2002,9,10,1,September,3,0.0,0.0,30.439287185668945,31.513453892299108,,,,,31.19399185180664,,-1
2002-09-11,30.606589105079617,31.749806901530143,30.606589105079617,31.21072769165039,635936,0.0,0.0,2002,9,11,2,September,3,2.534357987018332,1.143217796450525,30.439287185668945,31.245245252336776,,,,,30.991374969482422,,-1
2002-09-12,31.59178113878101,32.1401521868683,31.154944435174887,31.368715286254883,781968,0.0,0.0,2002,9,12,3,September,3,0.5061964468286329,0.9852077516934123,31.21072769165039,31.221343176705496,,,,,30.859392166137695,,-1
